"","cost","effect","strategy"
"1",6829.66726599261,0.308561057703773,"A"
"2",45530.4966541007,-0.816853620050914,"A"
"3",16915.1359586976,0.591764213568086,"A"
"4",10793.0017635226,0.684058370233685,"A"
"5",38955.914939288,0.998792700544908,"A"
"6",20032.6101039536,0.784392018766024,"A"
"7",47778.9050433785,0.948304116510392,"A"
"8",13601.1721915565,0.098369489533792,"A"
"9",29439.8616417311,0.623250289846205,"A"
"10",15207.2584605776,-1.07677299298512,"A"
"11",46563.0970778875,0.430906499221807,"A"
"12",23202.7136837132,-1.12713649375029,"A"
"13",29231.7262501456,0.457972693214728,"A"
"14",33124.0830477327,1.15605890728189,"A"
"15",22983.8470811956,0.45003917492238,"A"
"16",45744.32434747,-1.63087664662279,"A"
"17",22478.680324275,2.05886309019987,"A"
"18",36585.1807175204,0.0278918282301968,"A"
"19",27827.9975173064,0.619021768786543,"A"
"20",11207.7253288589,-0.121858211417179,"A"
"21",12813.3906866424,0.896748072305005,"A"
"22",43674.6215913445,-0.779506569786288,"A"
"23",26415.7902449369,0.869554368918179,"A"
"24",1200.61094639823,-0.637845022805424,"A"
"25",4311.38209532946,-1.1017770619823,"A"
"26",10671.4632129297,0.66469490532759,"A"
"27",23315.4575107619,-0.668433303712726,"A"
"28",27256.9713648409,-0.707286753641013,"A"
"29",1499.0343246609,-0.213631066505204,"A"
"30",37374.8850543052,0.197675541055715,"A"
"31",21954.3406856246,0.70285449596701,"A"
"32",19246.8539928086,0.60245258103454,"A"
"33",11432.1031956933,-0.929299877665872,"A"
"34",13947.5323376246,-0.838903723864831,"A"
"35",14837.098994758,-0.876165205416911,"A"
"36",43396.1668517441,0.898614694122487,"A"
"37",8568.92747106031,-0.496918875893782,"A"
"38",21220.8493147045,-0.202584957607217,"A"
"39",38379.2752516456,0.668232871660202,"A"
"40",32864.8387687281,0.783574167223666,"A"
"41",23141.3468834944,-0.459755827178604,"A"
"42",42826.4383692294,-0.641509828003896,"A"
"43",30749.1172337905,-0.697968999597074,"A"
"44",46543.5264399275,0.764055581853185,"A"
"45",15491.7135834694,0.334953368873861,"A"
"46",16234.5464457758,1.49641011177892,"A"
"47",27745.7854128443,0.943624637767101,"A"
"48",40268.8675443642,0.127211793066398,"A"
"49",9247.3644646816,-1.17949527420531,"A"
"50",43654.5309843495,0.527608248129475,"A"
"51",39901.2470035814,0.567738560460488,"A"
"52",47416.7902371846,0.296196502538311,"A"
"53",29080.138343852,1.40198216951935,"A"
"54",43896.6719899327,1.14016698955516,"A"
"55",953.250215388834,2.25991170917818,"A"
"56",47898.0011772364,0.410554176397472,"A"
"57",32245.0109873898,2.16318893241866,"A"
"58",13547.3893722519,0.442353417860041,"A"
"59",14900.1993588172,1.12124699996424,"A"
"60",25394.8631463572,-1.9327957877565,"A"
"61",29490.731540136,-1.90489474410723,"A"
"62",35591.8947607279,2.01405500703549,"A"
"63",18498.9242465235,0.406868098862368,"A"
"64",8888.8737373054,-0.297212051043911,"A"
"65",26298.4642991796,-0.419592052357833,"A"
"66",20181.48873467,-0.222091630246313,"A"
"67",7246.5872624889,-2.16713939319465,"A"
"68",10992.2852949239,-0.333449825659673,"A"
"69",24084.1187885962,0.713305616584773,"A"
"70",34673.2435049489,0.888606339129422,"A"
"71",1124.16362389922,-1.9941193709757,"A"
"72",6351.23931569979,-0.773079595700625,"A"
"73",45147.0659812912,0.0793743687082294,"A"
"74",6366.25309707597,-0.901452687835805,"A"
"75",45749.4596252218,-0.153494876980269,"A"
"76",46896.0289377719,0.0514491709137424,"A"
"77",5801.4408685267,-0.720168332917991,"A"
"78",12922.4527976476,-1.57603736358752,"A"
"79",41224.4785227813,-0.310459998837317,"A"
"80",49582.1617078036,0.975205061792144,"A"
"81",11292.7606562153,-1.11657620665816,"A"
"82",7563.94288036972,-2.44529409702386,"A"
"83",35871.3646885008,-0.897779868090464,"A"
"84",9010.95180306584,0.245281469973003,"A"
"85",8210.52908431739,-0.503179730814334,"A"
"86",31820.5447401851,-0.178374947422587,"A"
"87",6245.04205770791,-0.338922108478257,"A"
"88",1923.49855788052,-1.71363238218637,"A"
"89",7375.19761314616,-0.0144452163160237,"A"
"90",8575.81609161571,0.975686682578884,"A"
"91",13737.3695499264,-1.93720212562018,"A"
"92",23033.8934576139,-0.0525699546261202,"A"
"93",26736.2301237881,-1.14694160326284,"A"
"94",38975.6010030396,-0.921686145286257,"A"
"95",6099.31114595383,-1.4130370620344,"A"
"96",2227.37323492765,-0.989890059661246,"A"
"97",33673.1875664555,-0.457346575102764,"A"
"98",44182.2956665419,-1.04976789420305,"A"
"99",28436.9509201497,1.32648412294425,"A"
"100",27424.7324443422,1.40450883329192,"A"
"101",2755.371411331,1.12060664754503,"A"
"102",39711.8960274383,0.736605737888658,"A"
"103",5530.50835151225,0.759641377547271,"A"
"104",2738.78165753558,-2.40509019128013,"A"
"105",40385.9206242487,0.145501401886324,"A"
"106",37205.067044124,0.486491739104422,"A"
"107",46698.8817322999,1.33131856503811,"A"
"108",12426.5030026436,-1.02008215543132,"A"
"109",34606.75238166,1.03606619613863,"A"
"110",15280.5961668491,-0.900951199635468,"A"
"111",13102.8870935552,1.84502816120984,"A"
"112",47711.9206334464,-0.906913571323614,"A"
"113",33248.3297330327,-0.503831996523618,"A"
"114",36642.5340645947,0.0540834682013993,"A"
"115",15530.2548431791,0.258433976883824,"A"
"116",38445.4351384193,-0.999972624476628,"A"
"117",29226.8263408914,-1.30836586644036,"A"
"118",41608.0061811954,-0.316573884522149,"A"
"119",3214.66309251264,1.36878991494472,"A"
"120",23008.2128196955,1.1729434977179,"A"
"121",15210.7845060527,0.427024676033803,"A"
"122",18757.1023707278,0.935170166546633,"A"
"123",15086.0035209917,0.753644926814895,"A"
"124",37738.9681059867,-0.385650470604699,"A"
"125",24832.4051615782,-1.20583186663532,"A"
"126",12630.6326594204,-0.213069074017287,"A"
"127",29485.8843204565,1.43004929192632,"A"
"128",36269.5014919154,0.0859140635893349,"A"
"129",37270.278588403,-0.038530149932573,"A"
"130",17825.3574064001,1.29448199288323,"A"
"131",7036.73589741811,-1.10124604863037,"A"
"132",26926.9771524705,-1.67511406196805,"A"
"133",12682.9437795095,-0.259945009320774,"A"
"134",35350.8843574673,0.552069986974712,"A"
"135",19793.5693431646,-0.598495324188526,"A"
"136",40423.8996910863,-1.39844260661877,"A"
"137",8746.77171232179,-0.288608542658451,"A"
"138",16628.4811566584,0.0943740173193392,"A"
"139",29316.5829381905,0.243027891075649,"A"
"140",18902.94511104,1.80255681164033,"A"
"141",8162.73080417886,0.106237959857467,"A"
"142",30290.9057587385,1.4111812644206,"A"
"143",5942.36344331875,-0.480230808308618,"A"
"144",36818.1336671114,-1.07641593693266,"A"
"145",26788.4428380057,0.199211435083829,"A"
"146",15886.9893988594,1.7641424107168,"A"
"147",11823.4750349075,0.905122458182821,"A"
"148",12939.3805284053,-0.779357869677152,"A"
"149",48729.2164005339,0.0968199352169477,"A"
"150",45621.1263197474,-1.0217666867655,"A"
"151",31607.3875525035,0.98400451851816,"A"
"152",19486.4335702732,0.611008017258634,"A"
"153",11524.1075167432,-0.969256278126783,"A"
"154",46187.5858949497,-1.98894455861257,"A"
"155",7033.97556208074,-0.289159634593691,"A"
"156",36371.3626400568,0.122162558183084,"A"
"157",18880.3455443121,0.500004591677836,"A"
"158",8312.71625356749,-1.77182363131024,"A"
"159",13693.347829394,-1.5725528090681,"A"
"160",48343.4206224047,0.217529771431613,"A"
"161",9540.82186799496,-0.0712815514207959,"A"
"162",33547.7704531513,0.901910132160592,"A"
"163",42980.5846768431,-0.659271974119977,"A"
"164",39575.7829770446,0.218514175074993,"A"
"165",1339.08444549888,-0.0163666134877311,"A"
"166",13120.8756007254,-0.520530969764849,"A"
"167",32454.1414505802,-0.768680840546469,"A"
"168",15597.4217341281,0.385382548253908,"A"
"169",29368.5959186405,-0.891696296836113,"A"
"170",37986.4759393968,1.20648830910323,"A"
"171",43694.2511005327,-0.964744621182572,"A"
"172",32424.9246972613,1.47764501345787,"A"
"173",32794.4300719537,0.450672248754769,"A"
"174",20832.2807331569,-1.17522209650639,"A"
"175",19616.079388652,-1.23468639648708,"A"
"176",12330.8162670583,-0.0576229817421208,"A"
"177",25836.8255686946,-1.31714807818316,"A"
"178",19644.0377039835,1.11600347155155,"A"
"179",31104.7420022078,-0.887668663369112,"A"
"180",25073.2880318537,-0.217621010813735,"A"
"181",30201.8805290572,-0.221734433758698,"A"
"182",45053.0699919909,1.54761371275397,"A"
"183",11413.349758368,0.588741544011967,"A"
"184",28266.9580774382,-2.17850691471729,"A"
"185",45631.6096591763,-0.354560087966967,"A"
"186",46621.2856583297,0.791284500567686,"A"
"187",44629.3295943178,0.487364122619856,"A"
"188",34694.4742836058,-0.335778110486886,"A"
"189",37808.6925600655,-0.272956551418457,"A"
"190",21933.9426374063,-0.894135391788976,"A"
"191",4579.61512729526,0.644619273909056,"A"
"192",146.474607754499,-0.340259790408664,"A"
"193",6145.88663447648,-1.14019838230152,"A"
"194",40888.6944875121,-1.58227245778608,"A"
"195",2398.14644446597,-1.4000341789998,"A"
"196",8151.83267695829,0.128882917267884,"A"
"197",21194.0844310448,0.403672764389298,"A"
"198",4761.23383268714,0.380032763061853,"A"
"199",21609.2373710126,-0.558731321191948,"A"
"200",36266.4077780209,0.235916909241876,"A"
"201",25740.335136652,0.274212050560559,"A"
"202",23121.5542065911,-0.564673509755493,"A"
"203",8872.16632254422,0.801300343692081,"A"
"204",23463.4903608821,-0.265027541686154,"A"
"205",12860.7751452364,0.995539372150951,"A"
"206",10172.6498571225,0.626814612817819,"A"
"207",33089.4433776848,-0.442493400597404,"A"
"208",46662.5976841897,0.372124473523524,"A"
"209",17556.9007056765,0.960613999555641,"A"
"210",38680.7088507339,-2.67389058975229,"A"
"211",40487.2790561058,1.31244203903987,"A"
"212",49785.346374847,0.444130921912881,"A"
"213",11735.7570677996,0.649824905488361,"A"
"214",41239.2629077658,0.809578590977967,"A"
"215",29000.6003924645,-0.0969255820563111,"A"
"216",26232.5894320384,1.34465190052166,"A"
"217",5501.14037469029,-0.578086827488432,"A"
"218",9774.54972453415,-0.125342052916568,"A"
"219",9148.47220992669,0.383983536880419,"A"
"220",45636.809093412,0.779552719190484,"A"
"221",34990.628878586,0.0836978488969622,"A"
"222",37167.4276189879,2.11701478986647,"A"
"223",15525.6130150519,1.64217867400309,"A"
"224",18988.338613417,-0.992288327548038,"A"
"225",13139.3174291588,0.0607438410036199,"A"
"226",48101.8042541109,-0.619973127432378,"A"
"227",30592.5800930709,0.490414159727852,"A"
"228",4152.77368156239,-0.779176853264482,"A"
"229",28624.5937692001,-0.934004051913705,"A"
"230",7234.09827332944,0.950897701358915,"A"
"231",41257.5524183922,-0.1212809514072,"A"
"232",18954.8837370239,-1.76374644535502,"A"
"233",14740.4090850614,-0.411378164610964,"A"
"234",4440.93961268663,-0.270124152895704,"A"
"235",9595.81109927967,-0.15119454365389,"A"
"236",28300.8344937116,1.30767345070392,"A"
"237",19817.4826102331,0.477837788922055,"A"
"238",47883.8660288602,-1.53050276411416,"A"
"239",11521.2050150149,0.771285843561089,"A"
"240",46697.9016200639,-0.110122289020771,"A"
"241",7846.84014506638,-0.424290885129275,"A"
"242",25055.5772916414,-0.342299194258833,"A"
"243",8177.54822783172,-0.609343703630608,"A"
"244",48142.4736324698,0.985247372375461,"A"
"245",48081.1444343999,0.245799207582277,"A"
"246",11428.3201051876,2.45498431609183,"A"
"247",26291.6949461214,-0.78072987479957,"A"
"248",19132.8656161204,0.224443110016463,"A"
"249",38646.157621406,0.00205536901871777,"A"
"250",36114.6123381332,-1.22837592960148,"A"
"251",41623.7789439037,0.726503463364821,"A"
"252",45439.7034831345,0.483593073118896,"A"
"253",28021.253272891,1.69998471852805,"A"
"254",13804.8622058704,0.190919242251736,"A"
"255",39576.4028420672,0.420115485803811,"A"
"256",44991.9291888364,-0.661898729289715,"A"
"257",43518.9413721673,-1.0112519955475,"A"
"258",31135.6952879578,1.541100108034,"A"
"259",30250.9467117488,-1.20600812501367,"A"
"260",25725.2671872266,0.847447321650306,"A"
"261",11059.8514205776,-0.81631951716531,"A"
"262",38762.4327093363,-0.0635723174047308,"A"
"263",8517.50271394849,-0.640057949891617,"A"
"264",4478.14466897398,0.7361282701067,"A"
"265",13606.5813130699,-0.1336717517456,"A"
"266",37001.2838277034,0.444685166991823,"A"
"267",2899.97771615162,0.914829519226391,"A"
"268",26178.2862828113,-0.148241909925032,"A"
"269",12477.0141788758,-1.22736073401994,"A"
"270",468.856678344309,-1.72312241304445,"A"
"271",29422.4024517462,-1.58989085975024,"A"
"272",44002.1904418245,0.400655196469761,"A"
